department,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Rajasthan Royals,1,6,7,6,1,7,3,5,4,4,7,8,7,2,3
Punjab Kings,2,5,8,5,6,6,1,8,8,5,7,6,6,6,6
Chennai Super Kings,3,2,3,2,4,1,3,1,7,2,2,2,7,2,9
Delhi Capitals,4,1,5,8,8,8,8,7,6,6,8,3,2,1,5
Mumbai Indians,5,7,1,3,3,2,4,2,5,1,5,1,1,5,10
Kolkata Knight Riders,6,8,6,4,2,7,2,5,4,4,3,5,5,4,7
Royal Challengers Bangalore,7,3,4,1,5,5,7,3,2,8,6,8,4,3,4
Hyderabad Deccan Chargers,8,4,2,7,0,4,6,6,3,3,1,4,3,8,8
Gujurat Titans,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1
Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2