ID,innings,overs,total_run
1304071,1,16,16
1304071,1,17,12
1304071,1,18,8
1304071,1,19,17
1304071,2,0,3
1304071,2,1,6
1304071,2,2,6
1304071,2,3,12
1304071,2,4,8
1304071,2,5,11
1304071,2,6,13
1304071,2,7,18
1304071,2,8,4
1304071,2,9,14
1304071,2,10,10
1304071,2,11,4
1304071,2,12,4
1304071,2,13,14
1304071,2,14,13
1304071,2,15,13
1304071,2,16,5
1304071,2,17,18
1304072,1,0,7
1304072,1,1,9
1304072,1,2,11
1304072,1,3,3
1304072,1,4,16
1304072,1,5,11
1304072,1,6,4
1304072,1,7,13
1304072,1,8,10
1304072,1,9,10
1304072,1,10,4
1304072,1,11,8
1304072,1,12,18
1304072,1,13,8
1304072,1,14,18
1304072,1,15,5
1304072,1,16,9
1304072,1,17,9
1304072,1,18,22
1304072,1,19,4
1304072,2,0,6
1304072,2,1,5
1304072,2,2,9
1304072,2,3,8
1304072,2,4,20
1304072,2,5,9
1304072,2,6,5
1304072,2,7,10
1304072,2,8,8
1304072,2,9,6
1304072,2,10,7
1304072,2,11,11
1304072,2,12,12
1304072,2,13,4
1304072,2,14,5
1304072,2,15,7
1304072,2,16,16
1304072,2,17,9
1304072,2,18,17
1304072,2,19,7
1304073,1,0,5
1304073,1,1,7
1304073,1,2,5
1304073,1,3,7
1304073,1,4,6
1304073,1,5,10
1304073,1,6,2
1304073,1,7,5
1304073,1,8,23
1304073,1,9,12
1304073,1,10,9
1304073,1,11,4
1304073,1,12,5
1304073,1,13,2
1304073,1,14,13
1304073,1,15,5
1304073,1,16,12
1304073,1,17,28
1304073,1,18,12
1304073,1,19,17
1304073,2,0,9
1304073,2,1,10
1304073,2,2,11
1304073,2,3,15
1304073,2,4,5
1304073,2,5,7
1304073,2,6,5
1304073,2,7,8
1304073,2,8,5
1304073,2,9,4
1304073,2,10,14
1304073,2,11,2
1304073,2,12,5
1304073,2,13,12
1304073,2,14,3
1304073,2,15,19
1304073,2,16,11
1304073,2,17,11
1304073,2,18,7
1304073,2,19,10
1304074,1,0,6
1304074,1,1,2
1304074,1,2,5
1304074,1,3,10
1304074,1,4,10
1304074,1,5,15
1304074,1,6,3
1304074,1,7,10
1304074,1,8,1
1304074,1,9,8
1304074,1,10,8
1304074,1,11,10
1304074,1,12,16
1304074,1,13,10
1304074,1,14,8
1304074,1,15,10
1304074,1,16,2
1304074,1,17,8
1304074,1,18,9
1304074,1,19,0
1304074,2,0,6
1304074,2,1,2
1304074,2,2,6
1304074,2,3,8
1304074,2,4,11
1304074,2,5,6
1304074,2,6,14
1304074,2,7,8
1304074,2,8,3
1304074,2,9,10
1304074,2,10,6
1304074,2,11,8
1304074,2,12,9
1304074,2,13,9
1304074,2,14,5
1304074,2,15,10
1304074,2,16,10
1304074,2,17,8
1304074,2,18,13
1304075,1,0,3
1304075,1,1,4
1304075,1,2,9
1304075,1,3,11
1304075,1,4,4
1304075,1,5,8
1304075,1,6,7
1304075,1,7,5
1304075,1,8,8
1304075,1,9,7
1304075,1,10,15
1304075,1,11,19
1304075,1,12,13
1304075,1,13,11
1304075,1,14,1
1304075,1,15,4
1304075,1,16,6
1304075,1,17,10
1304075,1,18,6
1304075,1,19,18
1304075,2,0,1
1304075,2,1,4
1304075,2,2,9
1304075,2,3,2
1304075,2,4,9
1304075,2,5,12
1304075,2,6,8
1304075,2,7,3
1304075,2,8,7
1304075,2,9,3
1304075,2,10,10
1304075,2,11,19
1304075,2,12,0
1304075,2,13,12
1304075,2,14,9
1304075,2,15,10
1304075,2,16,4
1304075,2,17,25
1304075,2,18,10
1304075,2,19,13
1304076,1,0,2
1304076,1,1,7
1304076,1,2,16
1304076,1,3,15
1304076,1,4,9
1304076,1,5,11
1304076,1,6,14
1304076,1,7,3
1304076,1,8,13
1304076,1,9,9
1304076,1,10,13
1304076,1,11,8
1304076,1,12,13
1304076,1,13,15
1304076,1,14,15
1304076,1,15,11
1304076,1,16,15
1304076,1,17,5
1304076,1,18,5
1304076,1,19,18
1304076,2,0,9
1304076,2,1,10
1304076,2,2,8
1304076,2,3,4
1304076,2,4,12
1304076,2,5,14
1304076,2,6,17
1304076,2,7,19
1304076,2,8,14
1304076,2,9,9
1304076,2,10,7
1304076,2,11,11
1304076,2,12,14
1304076,2,13,4
1304076,2,14,15
1304076,2,15,11
1304076,2,16,2
1304076,2,17,20
1304076,2,18,7
1304076,2,19,3
1304077,1,0,7
1304077,1,1,3
1304077,1,2,19
1304077,1,3,7
1304077,1,4,7
1304077,1,5,4
1304077,1,6,15
1304077,1,7,3
1304077,1,8,14
1304077,1,9,8
1304077,1,10,5
1304077,1,11,8
1304077,1,12,7
1304077,1,13,10
1304077,1,14,13
1304077,1,15,10
1304077,1,16,10
1304077,1,17,14
1304077,1,18,13
1304077,1,19,4
1304077,2,0,9
1304077,2,1,5
1304077,2,2,3
1304077,2,3,7
1304077,2,4,9
1304077,2,5,11
1304077,2,6,6
1304077,2,7,14
1304077,2,8,8
1304077,2,9,11
1304077,2,10,5
1304077,2,11,11
1304077,2,12,5
1304077,2,13,6
1304077,2,14,7
1304077,2,15,11
1304077,2,16,10
1304077,2,17,10
1304077,2,18,3
1304077,2,19,12
1304078,1,0,7
1304078,1,1,6
1304078,1,2,14
1304078,1,3,6
1304078,1,4,11
1304078,1,5,3
1304078,1,6,7
1304078,1,7,9
1304078,1,8,6
1304078,1,9,8
1304078,1,10,4
1304078,1,11,4
1304078,1,12,2
1304078,1,13,3
1304078,1,14,6
1304078,1,15,1
1304078,1,16,7
1304078,1,17,5
1304078,1,18,2
1304078,1,19,4
1304078,2,0,14
1304078,2,1,12
1304078,2,2,17
1304078,2,3,15
1304078,2,4,17
1304078,2,5,6
1304078,2,6,3
1304078,2,7,8
1304078,2,8,12
1304078,2,9,9
1304078,2,10,6
1304079,1,0,6
1304079,1,1,8
1304079,1,2,9
1304079,1,3,4
1304079,1,4,4
1304079,1,5,11
1304079,1,6,4
1304079,1,7,3
1304079,1,8,3
1304079,1,9,4
1304079,1,10,13
1304079,1,11,5
1304079,1,12,10
1304079,1,13,5
1304079,1,14,11
1304079,1,15,10
1304079,1,16,9
1304079,1,17,7
1304079,1,18,13
1304079,1,19,16
1304079,2,0,9
1304079,2,1,6
1304079,2,2,7
1304079,2,3,7
1304079,2,4,9
1304079,2,5,8
1304079,2,6,2
1304079,2,7,9
1304079,2,8,9
1304079,2,9,2
1304079,2,10,9
1304079,2,11,2
1304079,2,12,9
1304079,2,13,10
1304079,2,14,5
1304079,2,15,5
1304079,2,16,6
1304079,2,17,14
1304079,2,18,11
1304079,2,19,17
1304080,1,0,8
1304080,1,1,1
1304080,1,2,3
1304080,1,3,14
1304080,1,4,3
1304080,1,5,15
1304080,1,6,7
1304080,1,7,12
1304080,1,8,15
1304080,1,9,9
1304080,1,10,17
1304080,1,11,6
1304080,1,12,18
1304080,1,13,9
1304080,1,14,18
1304080,1,15,3
1304080,1,16,9
1304080,1,17,21
1304080,1,18,14
1304080,1,19,20
1304080,2,0,8
1304080,2,1,6
1304080,2,2,11
1304080,2,3,10
1304080,2,4,13
1304080,2,5,7
1304080,2,6,5
1304080,2,7,9
1304080,2,8,26
1304080,2,9,4
1304080,2,10,22
1304080,2,11,3
1304080,2,12,3
1304080,2,13,12
1304080,2,14,10
1304080,2,15,13
1304080,2,16,10
1304080,2,17,15
1304080,2,18,0
1304080,2,19,20
1304081,1,0,8
1304081,1,1,11
1304081,1,2,12
1304081,1,3,6
1304081,1,4,6
1304081,1,5,4
1304081,1,6,14
1304081,1,7,8
1304081,1,8,4
1304081,1,9,5
1304081,1,10,8
1304081,1,11,10
1304081,1,12,6
1304081,1,13,12
1304081,1,14,13
1304081,1,15,5
1304081,1,16,5
1304081,1,17,3
1304081,1,18,11
1304081,1,19,5
1304081,2,0,5
1304081,2,1,5
1304081,2,2,1
1304081,2,3,5
1304081,2,4,8
1304081,2,5,10
1304081,2,6,7
1304081,2,7,9
1304081,2,8,7
1304081,2,9,6
1304081,2,10,9
1304081,2,11,7
1304081,2,12,19
1304081,2,13,1
1304081,2,14,8
1304081,2,15,5
1304081,2,16,8
1304081,2,17,8
1304081,2,18,11
1304081,2,19,9
1304082,1,0,5
1304082,1,1,3
1304082,1,2,3
1304082,1,3,9
1304082,1,4,5
1304082,1,5,6
1304082,1,6,6
1304082,1,7,8
1304082,1,8,2
1304082,1,9,2
1304082,1,10,4
1304082,1,11,2
1304082,1,12,2
1304082,1,13,1
1304082,1,14,7
1304082,1,15,3
1304082,1,16,0
1304082,2,0,2
1304082,2,1,8
1304082,2,2,13
1304082,2,3,10
1304082,2,4,9
1304082,2,5,14
1304082,2,6,7
1304082,2,7,9
1304083,1,0,2
1304083,1,1,4
1304083,1,2,14
1304083,1,3,7
1304083,1,4,2
1304083,1,5,3
1304083,1,6,6
1304083,1,7,7
1304083,1,8,10
1304083,1,9,17
1304083,1,10,10
1304083,1,11,3
1304083,1,12,18
1304083,1,13,5
1304083,1,14,8
1304083,1,15,10
1304083,1,16,10
1304083,1,17,15
1304083,1,18,4
1304083,1,19,13
1304083,2,0,11
1304083,2,1,1
1304083,2,2,6
1304083,2,3,5
1304083,2,4,8
1304083,2,5,12
1304083,2,6,6
1304083,2,7,5
1304083,2,8,2
1304083,2,9,3
1304083,2,10,7
1304083,2,11,6
1304083,2,12,5
1304083,2,13,16
1304083,2,14,5
1304083,2,15,12
1304083,2,16,9
1304083,2,17,6
1304083,2,18,5
1304083,2,19,2
1304084,1,0,4
1304084,1,1,9
1304084,1,2,2
1304084,1,3,7
1304084,1,4,7
1304084,1,5,8
1304084,1,6,6
1304084,1,7,8
1304084,1,8,12
1304084,1,9,9
1304084,1,10,6
1304084,1,11,16
1304084,1,12,9
1304084,1,13,14
1304084,1,14,6
1304084,1,15,13
1304084,1,16,9
1304084,1,17,7
1304084,1,18,22
1304084,1,19,13
1304084,2,0,10
1304084,2,1,1
1304084,2,2,2
1304084,2,3,5
1304084,2,4,7
1304084,2,5,7
1304084,2,6,8
1304084,2,7,11
1304084,2,8,13
1304084,2,9,5
1304084,2,10,12
1304084,2,11,3
1304084,2,12,6
1304084,2,13,13
1304084,2,14,15
1304084,2,15,23
1304084,2,16,6
1304084,2,17,6
1304084,2,18,8
1304084,2,19,15
1304085,1,0,5
1304085,1,1,14
1304085,1,2,6
1304085,1,3,8
1304085,1,4,0
1304085,1,5,10
1304085,1,6,6
1304085,1,7,16
1304085,1,8,2
1304085,1,9,2
1304085,1,10,14
1304085,1,11,7
1304085,1,12,5
1304085,1,13,4
1304085,1,14,1
1304085,1,15,4
1304085,1,16,6
1304085,1,17,4
1304085,1,18,12
1304085,1,19,18
1304085,2,0,9
1304085,2,1,1
1304085,2,2,5
1304085,2,3,7
1304085,2,4,8
1304085,2,5,7
1304085,2,6,1
1304085,2,7,7
1304085,2,8,10
1304085,2,9,3
1304085,2,10,6
1304085,2,11,3
1304085,2,12,5
1304085,2,13,11
1304085,2,14,7
1304085,2,15,4
1304085,2,16,9
1304085,2,17,4
1304085,2,18,8
1304085,2,19,0
1304086,1,0,11
1304086,1,1,11
1304086,1,2,4
1304086,1,3,4
1304086,1,4,14
1304086,1,5,9
1304086,1,6,6
1304086,1,7,7
1304086,1,8,10
1304086,1,9,8
1304086,1,10,12
1304086,1,11,16
1304086,1,12,3
1304086,1,13,12
1304086,1,14,13
1304086,1,15,5
1304086,1,16,10
1304086,1,17,6
1304086,1,18,9
1304086,1,19,25
1304086,2,0,2
1304086,2,1,18
1304086,2,2,11
1304086,2,3,9
1304086,2,4,7
1304086,2,5,12
1304086,2,6,9
1304086,2,7,5
1304086,2,8,8
1304086,2,9,10
1304086,2,10,5
1304086,2,11,13
1304086,2,12,12
1304086,2,13,6
1304086,2,14,8
1304086,2,15,5
1304086,2,16,9
1304086,2,17,12
1304086,2,18,13
1304086,2,19,25
1304087,1,0,2
1304087,1,1,4
1304087,1,2,11
1304087,1,3,4
1304087,1,4,3
1304087,1,5,5
1304087,1,6,5
1304087,1,7,3
1304087,1,8,9
1304087,1,9,10
1304087,1,10,5
1304087,1,11,11
1304087,1,12,11
1304087,1,13,2
1304087,1,14,4
1304087,1,15,12
1304087,1,16,17
1304087,1,17,10
1304087,1,18,16
1304087,1,19,2
1304087,2,0,11
1304087,2,1,6
1304087,2,2,9
1304087,2,3,10
1304087,2,4,6
1304087,2,5,5
1304087,2,6,8
1304087,2,7,11
1304087,2,8,14
1304087,2,9,3
1304087,2,10,1
1304087,2,11,3
1304087,2,12,7
1304087,2,13,5
1304087,2,14,14
1304087,2,15,4
1304087,2,16,14
1304087,2,17,12
1304087,2,18,7
1304088,1,0,5
1304088,1,1,2
1304088,1,2,6
1304088,1,3,3
1304088,1,4,16
1304088,1,5,7
1304088,1,6,3
1304088,1,7,10
1304088,1,8,8
1304088,1,9,7
1304088,1,10,15
1304088,1,11,7
1304088,1,12,10
1304088,1,13,6
1304088,1,14,4
1304088,1,15,2
1304088,1,16,7
1304088,1,17,14
1304088,1,18,12
1304088,1,19,9
1304088,2,0,4
1304088,2,1,2
1304088,2,2,15
1304088,2,3,8
1304088,2,4,7
1304088,2,5,10
1304088,2,6,5
1304088,2,7,7
1304088,2,8,7
1304088,2,9,2
1304088,2,10,18
1304088,2,11,3
1304088,2,12,4
1304088,2,13,0
1304088,2,14,11
1304088,2,15,2
1304088,2,16,7
1304088,2,17,5
1304088,2,18,6
1304088,2,19,10
1304089,1,0,10
1304089,1,1,1
1304089,1,2,8
1304089,1,3,2
1304089,1,4,13
1304089,1,5,9
1304089,1,6,5
1304089,1,7,3
1304089,1,8,9
1304089,1,9,15
1304089,1,10,12
1304089,1,11,7
1304089,1,12,8
1304089,1,13,8
1304089,1,14,7
1304089,1,15,4
1304089,1,16,15
1304089,1,17,8
1304089,1,18,11
1304089,1,19,15
1304089,2,0,10
1304089,2,1,8
1304089,2,2,5
1304089,2,3,7
1304089,2,4,4
1304089,2,5,12
1304089,2,6,4
1304089,2,7,5
1304089,2,8,14
1304089,2,9,8
1304089,2,10,5
1304089,2,11,12
1304089,2,12,2
1304089,2,13,4
1304089,2,14,13
1304089,2,15,15
1304089,2,16,7
1304089,2,17,17
1304089,2,18,12
1304089,2,19,10
1304090,1,0,3
1304090,1,1,4
1304090,1,2,12
1304090,1,3,7
1304090,1,4,11
1304090,1,5,3
1304090,1,6,13
1304090,1,7,3
1304090,1,8,8
1304090,1,9,9
1304090,1,10,5
1304090,1,11,3
1304090,1,12,6
1304090,1,13,4
1304090,1,14,11
1304090,1,15,24
1304090,1,16,4
1304090,1,17,13
1304090,1,18,12
1304090,1,19,3
1304090,2,0,12
1304090,2,1,10
1304090,2,2,2
1304090,2,3,9
1304090,2,4,3
1304090,2,5,5
1304090,2,6,20
1304090,2,7,5
1304090,2,8,4
1304090,2,9,5
1304090,2,10,10
1304090,2,11,10
1304090,2,12,7
1304090,2,13,11
1304090,2,14,9
1304090,2,15,2
1304090,2,16,10
1304090,2,17,13
1304090,2,18,8
1304090,2,19,6
1304091,1,0,6
1304091,1,1,16
1304091,1,2,3
1304091,1,3,16
1304091,1,4,8
1304091,1,5,8
1304091,1,6,4
1304091,1,7,12
1304091,1,8,7
1304091,1,9,14
1304091,1,10,11
1304091,1,11,12
1304091,1,12,12
1304091,1,13,5
1304091,1,14,11
1304091,1,15,3
1304091,1,16,11
1304091,1,17,8
1304091,1,18,13
1304091,1,19,15
1304091,2,0,1
1304091,2,1,8
1304091,2,2,4
1304091,2,3,19
1304091,2,4,17
1304091,2,5,17
1304091,2,6,7
1304091,2,7,5
1304091,2,8,9
1304091,2,9,7
1304091,2,10,1
1304091,2,11,18
1304091,2,12,7
1304091,2,13,4
1304091,2,14,11
1304091,2,15,11
1304091,2,16,4
1304091,2,17,10
1304091,2,18,15
1304091,2,19,14
1304092,1,0,3
1304092,1,1,6
1304092,1,2,9
1304092,1,3,5
1304092,1,4,8
1304092,1,5,9
1304092,1,6,7
1304092,1,7,13
1304092,1,8,14
1304092,1,9,11
1304092,1,10,15
1304092,1,11,17
1304092,1,12,6
1304092,1,13,10
1304092,1,14,20
1304092,1,15,13
1304092,1,16,6
1304092,1,17,11
1304092,1,18,8
1304092,1,19,11
1304092,2,0,10
1304092,2,1,14
1304092,2,2,12
1304092,2,3,10
1304092,2,4,6
1304092,2,5,6
1304092,2,6,4
1304092,2,7,10
1304092,2,8,3
1304092,2,9,14
1304092,2,10,8
1304092,2,11,5
1304092,2,12,11
1304092,2,13,12
1304092,2,14,6
1304092,2,15,4
1304092,2,16,12
1304092,2,17,6
1304092,2,18,12
1304092,2,19,24
1304093,1,0,4
1304093,1,1,3
1304093,1,2,0
1304093,1,3,5
1304093,1,4,15
1304093,1,5,11
1304093,1,6,4
1304093,1,7,7
1304093,1,8,9
1304093,1,9,4
1304093,1,10,12
1304093,1,11,4
1304093,1,12,12
1304093,1,13,10
1304093,1,14,5
1304093,1,15,3
1304093,1,16,7
1304093,1,17,7
1304093,1,18,20
1304093,1,19,10
1304093,2,0,6
1304093,2,1,5
1304093,2,2,4
1304093,2,3,6
1304093,2,4,4
1304093,2,5,7
1304093,2,6,8
1304093,2,7,6
1304093,2,8,4
1304093,2,9,9
1304093,2,10,16
1304093,2,11,10
1304093,2,12,11
1304093,2,13,5
1304093,2,14,6
1304093,2,15,7
1304093,2,16,8
1304093,2,17,13
1304093,2,18,17
1304093,2,19,6
1304094,1,0,4
1304094,1,1,13
1304094,1,2,5
1304094,1,3,12
1304094,1,4,4
1304094,1,5,4
1304094,1,6,4
1304094,1,7,4
1304094,1,8,6
1304094,1,9,6
1304094,1,10,4
1304094,1,11,7
1304094,1,12,10
1304094,1,13,9
1304094,1,14,6
1304094,1,15,10
1304094,1,16,6
1304094,1,17,11
1304094,1,18,7
1304094,1,19,11
1304094,2,0,2
1304094,2,1,8
1304094,2,2,8
1304094,2,3,12
1304094,2,4,5
1304094,2,5,8
1304094,2,6,15
1304094,2,7,4
1304094,2,8,7
1304094,2,9,7
1304094,2,10,8
1304094,2,11,13
1304094,2,12,7
1304094,2,13,9
1304094,2,14,4
1304094,2,15,28
1304095,1,0,6
1304095,1,1,8
1304095,1,2,6
1304095,1,3,13
1304095,1,4,18
1304095,1,5,6
1304095,1,6,5
1304095,1,7,4
1304095,1,8,10
1304095,1,9,3
1304095,1,10,5
1304095,1,11,11
1304095,1,12,4
1304095,1,13,11
1304095,1,14,13
1304095,1,15,8
1304095,1,16,6
1304095,1,17,18
1304095,1,18,2
1304095,1,19,16
1304095,2,0,9
1304095,2,1,3
1304095,2,2,10
1304095,2,3,3
1304095,2,4,12
1304095,2,5,14
1304095,2,6,8
1304095,2,7,3
1304095,2,8,10
1304095,2,9,5
1304095,2,10,8
1304095,2,11,7
1304095,2,12,10
1304095,2,13,7
1304095,2,14,9
1304095,2,15,4
1304095,2,16,5
1304095,2,17,8
1304095,2,18,8
1304095,2,19,17
1304096,1,0,0
1304096,1,1,11
1304096,1,2,1
1304096,1,3,21
1304096,1,4,6
1304096,1,5,11
1304096,1,6,1
